fips,state,county,years_of_potential_life_lost_rate ,percent_fair_or_poor_health,avg_phys_unhealthy_days,avg_mentally_unhealthy_days,percent_low_birthweight,percent_adults_smoking,percent_adults_w_obesity,percent_physically_inactive,percent_w_access_to_excercise,percent_excessive_drinking,percent_driving_deaths_w_alc_involvement,mental_health_provider_ratio,preventable_hospitalization_rate,percent_vaccinated,percent_completed_high_school,percent_some_college,percent_unemployed,80_percentile_income,20_percentile_income,income_ratio,social_association_rate,percent_severe_housing_problems,life_expectancy,age_adj_death_rate,child_mortality_rate,infant_mortality_rate,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_w_diabetes,percent_food_insecure,percent_limited_access_to_healthy_foods,percent_insufficient_sleep,spending_per_pupil,school_funding_adequacy,gender_pay_gap,median_household_income,percent_enrolled_in_free_or_reduced_lunch,homicide_rate,age_adj_suicide_rate,percent_voter_turnout,percent_homeowners,percent_households_w_severe_cost_burden,percent_under_18,percent_over_65,percent_rural
01000,Alabama,,10350,19,3.5,5.1,10,20,39,28,61,16,26,797:1,3599,44,87,62,3.4,112484,21729,5.2,11.9,13,74.8,500,67,8,11,16,13,15,9,39,10117,-3869,0.74,53990,53,11,16,62.6,69,12,22.3,17.6,41.0
01001,Alabama,Autauga,8027,17,3.4,4.8,10,18,37,26,56,17,32,2814:1,4372,42,90,60,2.8,114380,23857,4.8,12.6,14,76.6,427,51,7,11,16,11,15,13,38,8675,-2077,0.68,66444,41,6,18,66.2,74,13,23.4,16.0,42.0
01003,Alabama,Baldwin,8118,15,3.3,4.8,8,17,33,23,66,19,32,957:1,2864,47,91,66,3.0,126028,29304,4.3,9.6,12,77.7,382,51,5,10,16,10,12,8,35,10702,343,0.74,65658,46,3,20,65.3,77,11,21.2,21.5,42.3
01005,Alabama,Barbour,12877,28,4.6,5.0,12,26,46,36,55,13,38,4161:1,3559,40,76,39,5.7,79460,15338,5.2,9.4,16,72.9,590,83,,15,18,16,20,10,44,8966,-13560,0.74,38649,59,11,14,54.0,62,10,20.5,20.0,67.8
01007,Alabama,Bibb,11191,22,4.0,5.4,10,23,38,32,18,16,21,2497:1,4856,34,81,37,3.5,95705,19008,5.0,9.0,11,73.6,568,82,,13,17,12,16,0,40,10203,-2660,0.82,48454,48,10,17,54.6,79,9,20.1,16.7,68.4
01009,Alabama,Blount,10787,18,3.9,5.4,8,22,33,29,41,16,15,4920:1,3010,42,84,57,2.4,107757,22432,4.8,6.7,10,74.2,533,71,7,12,17,11,14,3,37,9228,-889,0.86,56894,51,7,21,64.2,79,8,23.1,18.7,90.0
01011,Alabama,Bullock,11406,30,4.7,5.1,15,26,48,40,3,13,35,5160:1,3047,32,78,36,4.0,71823,11447,6.3,7.0,13,73.8,556,,,15,18,18,16,32,46,10369,-15767,0.67,32027,76,15,,59.1,65,19,21.3,17.6,51.4
01013,Alabama,Butler,12717,23,4.2,5.2,13,22,45,32,45,14,35,1180:1,4201,34,86,41,5.3,97534,18281,5.3,9.2,12,73.5,607,80,,13,18,14,16,7,41,9564,-9256,0.83,39442,79,19,14,62.9,72,9,22.6,21.2,71.2
01015,Alabama,Calhoun,11826,20,3.8,4.9,9,21,37,28,65,16,14,670:1,3722,39,85,55,4.1,97183,20163,4.8,13.4,12,72.8,587,58,8,12,17,12,16,15,38,10213,-4113,0.76,48166,57,10,22,57.9,71,11,21.7,18.5,33.7
01017,Alabama,Chambers,11059,22,4.1,5.5,13,22,41,32,50,15,30,11514:1,3181,44,83,56,3.7,90636,21516,4.2,18.9,17,73.8,531,86,9,13,18,13,15,8,43,9973,-11973,0.79,45447,72,11,27,58.5,69,10,20.7,20.3,49.1
01019,Alabama,Cherokee,11396,19,3.9,5.5,8,23,41,29,38,18,18,4166:1,3916,47,80,50,2.5,92076,19147,4.8,8.4,9,74.0,543,65,,12,18,11,14,5,38,10628,81,0.86,46365,55,8,23,59.5,78,8,18.9,24.0,85.7
01021,Alabama,Chilton,10342,20,3.9,5.5,9,22,38,31,33,16,22,1372:1,4009,41,82,44,2.9,95583,23135,4.1,14.9,15,74.4,527,45,6,13,18,11,16,4,41,8781,-1904,0.76,55142,51,5,15,59.5,74,10,23.7,17.5,86.7
01023,Alabama,Choctaw,12129,23,4.2,5.4,12,22,41,31,25,15,57,12533:1,3102,34,81,53,4.4,95912,15331,6.3,19.3,10,74.2,540,,,13,18,14,17,13,43,12072,-9585,0.53,40601,75,,,73.3,83,11,20.1,23.7,100.0
01025,Alabama,Clarke,14428,24,4.3,5.2,13,23,41,32,53,13,33,1084:1,3547,30,82,42,6.0,93077,15700,5.9,16.3,12,71.7,624,108,,14,18,14,19,18,41,10594,-8620,0.61,45447,68,9,20,70.3,73,12,21.6,20.5,76.0
01027,Alabama,Clay,12554,21,4.1,5.5,8,23,39,31,64,16,39,7095:1,4412,40,83,42,2.7,100238,15973,6.3,12.2,8,72.9,573,,,13,18,12,15,3,39,9699,-4149,0.86,47036,62,,26,66.4,77,8,20.5,21.2,100.0
01029,Alabama,Cleburne,10530,19,4.0,5.4,8,22,38,29,42,17,31,1888:1,3277,39,83,49,2.6,93022,20262,4.6,8.0,9,74.3,522,81,,12,18,11,16,2,37,9332,536,0.74,49769,48,,16,63.1,77,6,23.1,19.7,100.0
01031,Alabama,Coffee,9298,19,3.9,5.4,9,20,44,30,49,15,33,1083:1,3313,36,86,63,2.8,117263,24477,4.8,12.6,10,75.3,475,49,5,12,17,12,15,9,40,9958,-2323,0.65,55052,47,6,14,57.2,69,10,23.9,17.1,47.2
01033,Alabama,Colbert,11072,19,3.8,5.4,11,21,37,29,65,16,28,1916:1,4273,47,87,56,4.0,97391,21270,4.6,16.2,11,73.9,538,59,9,12,17,11,16,9,37,11363,-2543,0.70,53341,52,5,19,64.8,72,9,21.2,20.3,43.9
01035,Alabama,Conecuh,15565,24,4.3,5.6,14,24,43,35,37,14,14,1888:1,8348,42,88,45,4.8,82831,19777,4.2,7.6,8,71.2,698,,,14,18,15,16,13,43,9883,-11358,0.76,35621,72,15,,66.6,79,5,20.1,24.1,80.9
01037,Alabama,Coosa,13477,20,3.9,5.4,15,22,42,30,5,16,30,5225:1,2604,44,85,46,3.1,101982,24762,4.1,11.3,11,73.9,574,157,,12,17,12,14,8,42,11708,-7733,0.58,45954,64,16,,61.7,81,3,16.2,24.7,100.0
01039,Alabama,Covington,12059,20,4.0,5.5,11,21,45,28,58,15,21,1251:1,5332,39,85,49,3.0,94605,17253,5.5,11.6,13,72.9,615,80,,12,18,12,16,5,38,9672,-4510,0.73,44188,53,6,20,60.3,75,10,22.1,21.7,69.7
